Generic Point 0, -192993.62798837322, 215573.70706678758, 18011.291391311122
Generic Point 1, -176465.22024915216, 123294.30843736413, 7277.9865204387315
Generic Point 2, -169933.66044154545, 110103.75252283589, 7189.050063355844
Generic Point 3, -167660.59187866907, 131471.33233600453, 7281.703441954163
Generic Point 4, -150087.389690022, 220856.3260336957, 11768.809673733464
Generic Point 5, -148089.09383111112, 139256.8472731858, 7110.288231846453
Generic Point 6, -147307.22092400547, 96378.30520458116, 7294.166520181991
Generic Point 7, -142542.4888319808, 165480.9343518342, 6942.297773686961
Generic Point 8, -138539.20745499703, 126470.2128658727, 6808.7031134494855
Generic Point 9, -135282.46087236938, 206550.638305135, 10279.26611067663
Generic Point 10, -133029.54732370406, 174775.8365317113, 6714.517170518922
Generic Point 11, -125686.26689993884, 187463.90191974313, 7148.410322916956
Generic Point 12, -123780.87540363969, 50434.59878361535, 7869.00619523659
Generic Point 13, -123413.78421007593, 70017.23760997866, 7534.606063301869
Generic Point 14, -122176.42782024348, 158195.79145971936, 8277.543632418665
Generic Point 15, -120378.30003781787, 168072.2999259542, 7114.546369313195
Generic Point 16, -116747.27478156918, 59369.72435748151, 7496.588628690979
Generic Point 17, -115796.37234759182, 154254.24385794371, 5894.149994584307
Generic Point 18, -99838.67796951931, 166565.1418279406, 4249.7173277409765
Generic Point 19, -96351.66379064241, 155140.6377529496, 5308.918534412438
Generic Point 20, -94861.84488314946, 90661.23190791324, 6991.68195943943
Generic Point 21, -89945.50376900082, 131867.1665238624, 9624.996263658802
Generic Point 22, -86775.28719558391, 158755.1196911076, 3663.896128541655
Generic Point 23, -82330.82482125041, 4817.061638655085, 8511.387170273634
Generic Point 24, -77178.96698517671, 47588.873919158745, 7812.0547226743565
Generic Point 25, -75569.00722951678, 42679.13110569356, 7799.942318300235
Generic Point 26, -65710.71691795177, 84455.88756671685, 6308.909787458711
Generic Point 27, -46562.161833161656, -11649.357142349229, 7903.197065752529
Generic Point 28, -39450.86260993791, 23275.78688004076, 7805.300637337867
Generic Point 29, -34145.106970763256, 32946.28289877011, 7777.822916436899
Generic Point 30, -32238.04537472529, 144153.12455911888, 4922.960021651328
Generic Point 31, -21401.417052508667, 6210.470896578939, 8931.268403621021
Generic Point 32, -18806.789795593722, 76214.37302700205, 6518.686377604809
Generic Point 33, -16740.092838871165, 49623.28635741894, 7794.349225779057
Generic Point 34, -13872.580793774521, 92627.12791999918, 6427.938026422787
Generic Point 35, -10964.24506933068, 119603.39314067316, 7041.988933191658
Generic Point 36, -7080.195864398161, 104385.21518421435, 7305.385792784434
Generic Point 37, 11680.849268844582, 49593.817373252066, 8323.496082354342
Generic Point 38, 20453.885786278053, 58901.122147526854, 6389.718583337724
Generic Point 39, 23105.655197595188, 21618.746153745302, 7705.067038356586
Generic Point 40, 27373.001498019505, 118576.75174201971, 7099.631581605116
Generic Point 41, 33525.34083378615, 84527.37179613546, 6392.848044006368
Generic Point 42, 43895.65429279715, 118789.15504960396, 7085.247780183425
